file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
55,0,644,3773,139,172,1442,1,298,0,0,2423,1.679140679140679,0,707,2,842,0,0,7,0,644,0
56,0,77,679,145,112,489,1,51,1,94,906,1.8489795918367347,0,25,18,150,94,9,6,0,77,0
57,0,529,6078,4,513,2019,1,778,53,70,2551,1.2628712871287129,0,400,1,789,70,1,18,0,529,0
58,0,94,3416,3,508,2886,1,288,78,94,4428,1.5337720817457567,0,59,71,562,94,4,2,0,94,0
59,0,77,679,145,112,489,1,51,1,94,906,1.8489795918367347,0,25,18,150,94,9,6,0,77,0
60,0,273,899,7,194,743,1,87,8,8,1176,1.5806451612903225,0,42,3,212,8,26,16,0,273,0
61,0,68,1326,100,28,697,1,18,1,41,1087,1.5573065902578798,0,22,29,12,41,4,10,0,68,0
62,0,869,10072,1390,52,3175,1,1127,23,78,3124,0.9836272040302267,0,670,101,681,78,4,23,0,869,28
63,0,5,576,2,0,6,2,4,3,0,28,4.0,2,4,0,4,0,0,0,0,5,0
64,0,932,5058,4,559,2665,1,601,14,95,4554,1.7081770442610653,0,31,15,638,95,12,27,0,932,1
65,0,553,5157,31,96,1569,1,879,1,757,3851,2.4528662420382163,0,455,6,556,757,9,22,0,553,5
66,0,349,3287,118,85,1722,1,140,14,233,1740,1.0098665118978525,0,82,14,300,233,4,9,0,349,23
67,0,198,1705,138,86,790,1,79,5,112,1024,1.2945638432364097,0,90,30,246,112,5,10,0,198,1
68,0,568,3408,39,132,2130,1,97,35,48,6190,2.9047395588925387,0,47,7,696,48,1,25,0,568,44
69,0,105,3401,605,62,1001,1,329,43,17,1494,1.4910179640718564,0,309,13,353,17,1,9,0,105,0
70,0,653,4897,1,135,2332,1,839,3,2177,4137,1.773253321903129,0,187,170,687,2177,7,5,0,653,4
71,0,15,27,0,0,24,1,0,1,3,85,3.4,0,0,0,0,3,0,0,0,15,0
72,0,4,11,0,0,5,1,0,0,0,34,5.666666666666667,0,0,0,0,0,0,0,0,4,3
73,0,414,3433,11,92,905,1,304,3,185,1555,1.716335540838852,0,269,19,384,185,0,7,0,414,10
74,0,709,4253,2,561,2337,1,481,13,90,3721,1.5915312232677503,0,26,13,627,90,12,26,0,709,1
75,0,1665,14423,2082,218,4888,1,662,100,69,3522,0.7203927183473103,0,388,93,1815,69,5,23,0,1665,14
76,0,1665,14423,2082,218,4888,1,662,100,69,3522,0.7203927183473103,0,388,93,1815,69,5,23,0,1665,14
77,0,5,3935,0,215,1372,1,504,2,163,2725,1.984705025491624,0,73,386,359,163,12,5,0,5,3
78,0,686,9764,39,198,3030,1,415,20,33,6382,2.1055757175849554,0,41,7,1091,33,1,32,0,686,64
79,0,686,9764,39,198,3030,1,415,20,33,6382,2.1055757175849554,0,41,7,1091,33,1,32,0,686,64
80,0,226,1791,6,19,528,1,167,20,33,1256,2.3742911153119093,0,63,74,429,33,5,0,0,226,0
81,0,136,1290,40,21,472,1,150,149,56,951,2.010570824524313,0,83,7,129,56,1,9,0,136,0
82,0,136,1290,40,21,472,1,150,149,56,951,2.010570824524313,0,83,7,129,56,1,9,0,136,0
83,0,200,1542,39,101,1040,1,59,11,35,1940,1.8635926993275695,0,38,7,319,35,1,6,0,200,2
84,0,298,1835,30,236,1070,1,104,10,307,1687,1.5751633986928104,1,204,29,399,307,5,7,0,298,6
85,0,62,3754,15,136,1756,1,241,49,25,2238,1.273762094479226,0,164,46,336,25,9,2,0,62,1
86,0,62,3754,15,136,1756,1,241,49,25,2238,1.273762094479226,0,164,46,336,25,9,2,0,62,1
87,0,62,3754,15,136,1756,1,241,49,25,2238,1.273762094479226,0,164,46,336,25,9,2,0,62,1
88,0,713,2464,39,25,772,1,216,7,248,1363,1.7632600258732212,0,148,5,138,248,1,3,0,713,0
89,0,270,1855,71,104,900,1,132,6,35,1005,1.1154273029966704,0,194,4,292,35,1,5,0,270,2
90,0,1003,7947,1528,221,3824,1,642,275,69,4227,1.1050980392156862,0,210,118,1635,69,9,25,0,1003,11
91,0,130,2730,42,211,1344,1,264,49,69,1567,1.1650557620817843,0,153,155,425,69,5,1,0,130,3
92,0,89,1952,47,65,631,1,334,2,91,1907,3.017405063291139,0,171,38,143,91,1,0,0,89,0
93,0,110,1334,24,378,1022,1,210,87,117,1026,1.002932551319648,0,44,32,472,117,100,2,0,110,0
94,0,89,1952,47,65,631,1,334,2,91,1907,3.017405063291139,0,171,38,143,91,1,0,0,89,0
95,0,89,1952,47,65,631,1,334,2,91,1917,3.0332278481012658,0,171,41,143,91,1,0,0,89,0
96,0,174,4445,505,589,1467,1,543,53,644,2160,1.4713896457765667,0,213,3,586,644,5,15,0,174,0
97,0,329,7754,4469,8,4534,1,2765,16,8,974,0.214773980154355,0,54,2,3614,8,0,0,0,329,0
98,-1,1225,7520,262,94,1974,1,647,146,174,5163,2.6141772151898732,0,572,2,634,174,3,106,0,1225,5
99,-1,1225,7524,262,95,1975,1,647,146,174,5167,2.6148785425101213,0,572,2,634,174,3,106,0,1225,5
100,0,678,1126,13,96,659,1,127,4,27,961,1.456060606060606,0,127,10,544,27,0,8,0,678,0
101,0,986,6484,339,131,2313,1,569,369,47,3967,1.7143474503025065,0,737,59,872,47,1,13,0,986,15
102,0,166,1399,27,32,631,1,151,10,27,672,1.0632911392405062,0,45,9,43,27,5,10,0,166,0
103,0,532,4017,70,75,1518,1,294,60,147,1309,0.8617511520737328,0,219,12,386,147,1,9,0,532,12
104,0,281,2087,22,13,1021,1,226,6,246,2212,2.164383561643836,0,86,22,47,246,0,1,0,281,0
105,0,401,3646,72,370,2136,1,501,91,167,2992,1.4000935891436594,0,482,138,864,167,0,15,0,401,2
106,0,333,1751,67,49,886,1,72,48,37,1456,1.641488162344983,0,116,7,303,37,1,17,0,333,3
107,0,1122,4559,39,948,3463,1,357,26,39,7456,2.1524249422632793,0,74,7,1722,39,1,17,0,1122,34
108,0,161,6036,8,361,1852,20,825,80,222,1405,0.7582298974635726,46,854,75,1394,222,2,5,0,161,15
109,0,1074,15815,4,453,2545,1,1550,38,754,4124,1.619795758051846,0,500,123,377,754,11,36,0,1074,0
110,0,1039,15742,4,372,2420,1,1513,36,259,3547,1.4650970673275505,0,496,116,331,259,10,36,0,1039,0
111,0,290,5678,37,89,1629,1,439,99,165,3102,1.9030674846625766,0,145,12,631,165,9,5,0,290,3
112,0,648,3875,39,425,2559,1,473,12,32,2640,1.03125,0,65,7,1345,32,1,16,0,648,32
113,0,346,3873,147,25,2239,1,690,17,90,1464,0.6535714285714286,0,318,633,592,90,4,5,0,346,3
114,0,0,612,11,10,623,1,0,0,2,64,0.10256410256410256,0,0,12,0,2,0,0,0,0,0
115,0,882,227,0,24,34,1,4,0,0,1084,30.97142857142857,0,3,0,7,0,0,0,0,882,0
116,0,430,2325,247,258,1047,1,218,7,112,1286,1.2270992366412214,0,179,39,315,112,2,5,0,430,0
117,0,580,4503,885,66,1828,1,300,15,539,1801,0.9846910880262438,0,143,9,794,539,1,8,0,580,15
118,0,214,3033,24,305,1357,1,326,21,391,1861,1.37039764359352,0,151,3,332,391,10,9,0,214,5
119,0,0,57,0,31,33,1,0,0,0,186,5.470588235294118,0,0,0,0,0,0,0,0,0,0
120,0,686,1324,79,203,794,1,203,8,38,988,1.2427672955974842,0,182,12,318,38,1,15,0,686,3
121,0,637,3264,268,227,1267,1,309,7,223,2196,1.7318611987381702,0,232,2,568,223,1,19,0,637,0
122,0,150,2650,84,487,1540,1,562,9,201,1644,1.0668397144711226,0,375,13,835,201,0,21,0,150,0
123,0,946,7048,104,722,3276,1,442,74,974,3750,1.1443393347574,0,379,13,1206,974,85,13,0,946,17
124,0,54,2575,4,19,1903,1,84,3,58,524,0.27521008403361347,0,37,7,71,58,9,1,0,54,3
125,-2,1531,10561,469,796,4718,1,764,221,547,4441,0.9410892138164866,0,584,59,1159,547,2,53,0,1531,31
126,0,1221,9967,1451,369,4835,1,746,100,143,3717,0.7686104218362283,0,491,70,1851,143,86,30,0,1221,2
127,0,434,13486,12,633,2155,1,773,19,990,3426,1.5890538033395176,0,215,6,707,990,2,4,0,434,7
128,0,75,5222,107,118,2043,1,229,11,141,1664,0.8140900195694716,0,76,192,773,141,12,17,0,75,5
129,0,962,13226,62,124,6494,1,684,108,298,3800,0.5850654349499615,9,184,22,249,298,4,20,0,962,30
130,0,843,3823,94,178,2046,1660,166,48,226,2836,1.3854421104054715,0,184,2,202,226,3,13,0,843,16
131,0,281,4119,93,53,1243,1,370,100,419,1525,1.2258842443729903,0,271,36,202,419,0,7,0,281,3
132,0,540,5908,260,284,2459,1,365,35,64,2264,0.9203252032520325,3,425,10,805,64,6,23,0,540,4
133,0,1062,6404,195,46,1837,1,864,432,46,2626,1.4287268770402612,0,638,11,600,46,0,22,0,1062,9
134,0,647,1473,7,61,785,101,103,26,23,957,1.217557251908397,0,129,6,114,23,0,4,0,647,4
135,0,894,7388,678,229,2796,1,514,42,90,2091,0.7475867000357526,1,658,23,997,90,7,28,0,894,11
136,0,1838,6054,143,586,2067,1,715,51,175,2612,1.263056092843327,0,593,32,1034,175,1,15,0,1838,12
137,0,911,7238,117,234,3164,1,621,137,241,2443,0.7718799368088468,0,415,17,623,241,3,22,0,911,20
138,0,534,3316,22,123,671,1,276,3,295,1250,1.8601190476190477,0,222,245,315,295,0,7,0,534,0
139,0,444,3850,21,141,1314,1,505,20,34,1329,1.0106463878326997,0,379,55,432,34,0,8,0,444,3
140,0,546,3293,436,238,1043,647,214,22,115,1813,1.7365900383141764,22,213,0,244,115,0,25,0,546,2
141,0,455,3196,43,142,1470,1,317,42,117,1408,0.9571719918422842,0,251,70,648,117,1,7,0,455,0
142,0,1128,1799,18,31,595,347,234,22,113,1195,2.0050335570469797,0,230,17,179,113,0,3,0,1128,7
