file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
73,0,5040,54496,217,2085,18151,1,8717,294,341,17338,0.9551564565888057,3,5064,65,9349,341,19,106,0,5040,48
74,0,1960,11340,101,188,5127,1,925,58,144,6698,1.3061622464898597,4,440,53,742,144,35,29,0,1960,167
75,0,2156,17954,58,1783,6459,1,2393,49,498,10633,1.6459752321981425,3,894,1999,1409,498,50,10,0,2156,13
76,0,740,11932,106,1347,5549,1,712,62,751,7224,1.3016216216216216,0,548,94,1557,751,97,3,0,740,8
77,0,1995,18604,1090,343,5728,1,1595,1294,91,5988,1.045208587886193,0,1409,100,2573,91,25,25,0,1995,18
78,0,701,21316,21218,315,15445,1,853,11,2112,20494,1.3268160041434676,0,606,4,1854,2112,12,25,0,701,32
79,0,1223,15957,39,2743,8632,1,1160,51,36,17509,2.0281478049345534,0,102,7,5078,36,1,16,0,1223,16
80,0,4186,16928,2120,231,5447,1,1535,103,2792,7722,1.4174008810572687,10,428,74,1392,2792,6,24,0,4186,16
81,0,1333,15058,404,1377,5855,1,902,25,809,5129,0.875853825136612,2,1051,40,2243,809,12,54,0,1333,10
82,0,776,14546,74,772,3542,1,1576,115,300,4108,1.1594693762348292,0,1525,137,2114,300,15,22,0,776,3
