,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
,0,813,2609,601,30,1679,1,562,6,154,727,0.432738095,0,42,20,58,154,2,25,0,813,3
,0,276,6543,16,35,3774,1,110,8,39,761,0.201589404,0,97,103,245,39,0,1,0,276,3
,0,1167,17150,159,266,3836,1,2051,494,132,5120,1.334375814,0,1125,82,1236,132,26,73,0,1167,10
,0,205,5191,294,93,988,1,289,15,134,1357,1.372093023,0,313,681,404,134,0,9,0,205,9
,0,82,1882,17,23,1320,1,55,4,106,743,0.562452687,0,29,13,511,106,3,9,0,82,6
,0,9,246,1,9,181,1,12,10,17,325,1.785714286,0,12,7,36,17,0,0,0,9,6
,0,350,1319,14,136,806,1,190,5,18,1164,1.442379182,0,6,14,123,18,4,5,0,350,0
,0,1159,1746,167,138,1044,1,212,7,65,2507,2.399043062,0,150,5,305,65,26,20,0,1159,6
,0,76,2507,58,117,1715,1,114,35,66,1072,0.624708625,0,56,108,444,66,4,5,0,76,25
,0,526,2946,576,181,1595,1,240,30,59,1588,0.994987469,0,42,20,226,59,17,20,0,526,2
,0,433,4932,176,369,3238,1,278,20,48,2056,0.634763816,0,216,246,1017,48,3,6,0,433,4
,0,465,4600,1227,192,2509,1,242,40,162,2965,1.1812749,0,88,128,955,162,30,7,0,465,4
,0,1308,11119,751,164,3229,1,954,40,3192,8576,2.655108359,1,944,77,1624,3192,25,36,0,1308,39
,0,0,10,0,0,5,1,0,1,0,16,2.666666667,0,0,1,0,0,0,0,0,0,0
,0,273,10191,14,183,1102,1,348,21,642,2177,1.973708069,0,97,10,217,642,36,18,0,273,2
,0,1,8,2,0,13,1,8,1,1,3,0.214285714,0,2,0,12,1,0,0,0,1,0
,0,198,3837,458,172,2139,1,414,40,158,1736,0.811214953,0,360,326,904,158,6,5,0,198,6
,0,307,5275,164,1038,3414,1,532,53,343,4895,1.433382138,0,831,52,1617,343,8,27,0,307,1
,0,161,1296,31,33,596,1,198,5,34,796,1.333333333,0,29,34,86,34,7,17,0,161,0
,0,281,11176,319,38,2475,1,744,152,77,2759,1.114297254,0,655,25,518,77,4,24,0,281,10
,0,1639,15321,205,1003,5000,1,1399,154,1777,6321,1.263947211,1,1258,109,2631,1777,102,23,0,1639,22
,0,368,4443,2,29,623,1,474,1,34,826,1.323717949,0,347,0,290,34,0,3,0,368,0
,0,1021,1500,0,121,734,1,293,10,59,1626,2.212244898,0,34,51,193,59,20,4,0,1021,7
,0,48,891,0,153,321,1,91,3,0,270,0.838509317,32,59,0,167,0,0,0,0,48,0
,0,403,1398,33,78,705,1,125,13,114,961,1.361189802,0,133,9,264,114,2,13,0,403,6
,0,403,1398,33,78,705,1,125,13,114,961,1.361189802,0,133,9,264,114,2,13,0,403,6
,0,115,4250,0,102,734,45,427,3,0,647,0.880272109,51,50,2,597,0,0,0,0,115,0
,0,290,2142,45,55,917,1,242,26,20,1037,1.12962963,0,149,9,164,20,0,3,0,290,2
,0,464,1830,1,2,706,1,83,7,21,953,1.347949081,0,168,4,116,21,0,9,0,464,11
,0,2157,9862,305,311,3970,1,1291,446,301,5373,1.353059683,0,878,4,1214,301,4,15,0,2157,24
