file_number,nesting_depth,num_ids,num_classes,num_important,duplicate_selectors,total_rules,deep_nesting,long_selectors,overqualified_selectors,browser_specific_properties,total_properties,avg_properties_per_rule,inline_styles,unused_selectors,universal_selectors,excessive_specificity,vendor_prefixes,animation_usage,excessive_zindex,unused_media_queries,color_hex_usage,excessive_font_sizes
224,0,328,1554,6,48,757,1,321,3,57,1190,1.5699208443271768,0,73,1,54,57,8,27,0,328,0
225,0,29,9326,5,30,191,1,103,0,24,259,1.3489583333333333,0,23,1,60,24,3,2,0,29,0
226,0,519,363,0,0,149,1,36,1,13,133,0.8866666666666667,0,64,3,62,13,0,3,0,519,0
227,0,582,5691,10,67,1785,1,236,4,275,5478,3.0671892497200446,0,376,0,1588,275,9,40,0,582,5
228,0,525,1901,32,34,942,1,149,21,40,915,0.9703075291622482,0,147,2,930,40,0,4,0,525,50
229,0,241,852,6,60,435,1,95,53,30,992,2.2752293577981653,0,70,14,130,30,5,4,0,241,0
230,0,193,2880,77,285,1246,1,322,11,1128,2249,1.8035284683239776,0,396,9,758,1128,1,4,0,193,7
231,0,988,5763,1707,274,4148,1,257,42,86,3961,0.9546878765967703,0,372,77,1755,86,4,13,0,988,37
232,0,9,1425,23,52,586,1,116,9,22,786,1.3390119250425894,0,121,74,219,22,4,2,0,9,0
233,0,447,1009,86,19,558,1,81,9,11,706,1.262969588550984,0,143,39,177,11,0,1,0,447,7
234,0,341,2487,32,732,1700,1,375,9,361,2602,1.5296884185773074,0,578,1,1017,361,3,13,0,341,18
235,0,364,10531,11,1062,3345,1,1484,522,933,3921,1.1718469814704124,0,954,215,1508,933,3,11,0,364,22
236,0,565,8617,827,110,5550,1,637,20,476,2321,0.41812286074581156,9,142,24,705,476,11,9,0,565,13
237,0,277,5381,39,533,1795,1,487,224,1563,3400,1.8930957683741647,0,330,4,1017,1563,79,14,1,277,5
238,0,594,1982,219,5,1036,1,118,22,69,1323,1.2757955641272902,0,100,1,81,69,0,1,0,594,4
239,0,158,2146,0,3,540,1,24,1,20,1177,2.175600739371534,0,15,2,6,20,1,0,0,158,0
240,0,150,355,3,0,228,1,0,1,15,1665,7.270742358078603,0,5,0,5,15,0,9,0,150,10
241,0,325,8278,197,148,1713,1,351,172,51,1003,0.5851808634772462,0,203,876,539,51,20,15,0,325,1
242,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
243,0,0,26,0,0,0,0,0,0,0,26,26.0,0,0,0,0,0,0,0,0,0,0
244,0,2,17,0,0,10,1,0,0,1,48,4.363636363636363,0,0,0,0,1,0,0,0,2,0
245,0,691,3706,117,41,1462,1,121,17,32,2332,1.593984962406015,0,263,11,340,32,2,29,0,691,2
246,0,96,48,0,0,30,1,1,2,47,135,4.354838709677419,0,0,0,0,47,0,0,0,96,0
247,0,3,21,0,0,14,1,1,0,0,35,2.3333333333333335,0,2,0,2,0,0,0,0,3,0
248,0,1,25,0,0,12,1,0,0,0,37,2.8461538461538463,0,0,0,0,0,0,3,0,1,0
249,0,7,98,1,12,39,1,30,0,4,76,1.9,0,20,0,32,4,0,0,0,7,0
250,0,574,4036,66,82,1514,1,300,60,137,1281,0.8455445544554455,0,218,6,386,137,1,9,0,574,12
251,0,533,4036,66,83,1515,1,300,60,137,1289,0.850263852242744,0,219,6,386,137,1,9,0,533,12
252,0,649,5207,1031,88,2114,1,314,25,608,2095,0.9905437352245863,0,113,35,937,608,3,9,0,649,13
253,0,649,5265,1042,82,2121,1,314,25,624,2123,1.0004712535344016,0,115,37,938,624,3,9,0,649,13
254,0,424,5020,1715,105,2676,1,223,38,209,2981,1.1135599551737019,0,80,132,1379,209,5,15,0,424,0
255,0,0,1959,2,0,1955,1,1,2,2,11,0.005623721881390593,0,1,1,0,2,0,0,0,0,0
256,0,133,1750,28,128,1057,1,191,11,24,1497,1.4149338374291116,0,91,55,211,24,10,9,0,133,0
257,0,623,5476,1208,96,2285,1,310,25,645,2118,0.926509186351706,0,107,10,1097,645,3,9,0,623,13
258,0,718,6554,1602,240,3111,1,250,42,69,3224,1.0359897172236503,0,111,138,1606,69,5,16,0,718,1
259,0,533,4021,66,82,1516,1,311,60,135,1296,0.8543177323665129,0,219,8,386,135,1,8,0,533,12
260,0,424,3204,107,107,1178,1,266,48,101,1076,0.9126378286683631,0,180,7,376,101,1,10,0,424,11
261,0,531,3998,65,81,1516,1,301,60,75,1236,0.8147659854976929,0,219,10,387,75,1,9,0,531,12
262,0,156,2121,5,14,1223,1,731,2,208,3505,2.863562091503268,0,13,13,47,208,5,1,0,156,0
263,0,649,5207,1031,88,2114,1,314,25,608,2095,0.9905437352245863,0,113,35,937,608,3,9,0,649,13
264,0,649,5207,1031,88,2114,1,314,25,608,2095,0.9905437352245863,0,113,35,937,608,3,9,0,649,13
265,0,649,5207,1031,88,2114,1,314,25,608,2095,0.9905437352245863,0,113,35,937,608,3,9,0,649,13
266,0,649,5207,1031,88,2114,1,314,25,608,2095,0.9905437352245863,0,113,35,937,608,3,9,0,649,13
267,0,649,5207,1031,88,2114,1,314,25,608,2095,0.9905437352245863,0,113,35,937,608,3,9,0,649,13
268,0,497,3720,67,75,1247,1,295,60,135,1292,1.0352564102564104,0,208,11,375,135,1,9,0,497,11
269,0,532,4017,66,76,1510,1,294,60,147,1309,0.8663136995367307,0,219,7,386,147,1,9,0,532,12
270,0,446,4509,1217,45,1808,1,229,7,907,1775,0.9812050856826976,0,93,4,920,907,0,4,0,446,2
271,0,609,5167,1292,93,2462,1,250,26,127,1994,0.8095818107998376,0,99,63,1244,127,5,21,0,609,0
272,0,532,4017,66,76,1510,1,294,60,147,1309,0.8663136995367307,0,219,7,386,147,1,9,0,532,12
273,0,533,4036,66,83,1515,1,300,60,137,1289,0.850263852242744,0,219,6,386,137,1,9,0,533,12
274,0,422,5092,1661,130,2702,1,220,38,209,2979,1.1021087680355162,0,81,131,1380,209,5,15,0,422,0
275,0,521,3685,1063,55,1734,1,249,13,475,1771,1.0207492795389048,0,102,10,761,475,1,9,0,521,12
276,0,612,5019,1279,89,2397,1,243,20,108,1800,0.7506255212677231,0,93,65,1218,108,3,14,0,612,0
277,0,619,5008,1026,82,2045,1,313,24,569,1952,0.9540566959921799,0,139,12,904,569,3,9,0,619,13
278,0,533,4036,66,83,1515,1,300,60,137,1289,0.850263852242744,0,219,6,386,137,1,9,0,533,12
279,0,365,2800,56,107,1145,1,191,8,149,1146,1.0,0,140,6,345,149,2,8,0,365,10
280,0,425,5048,1713,105,2675,1,222,38,209,2986,1.1158445440956652,0,81,132,1380,209,5,15,0,425,0
281,0,623,5091,1031,84,2076,1,305,25,571,2013,0.9691863264323544,0,107,10,900,571,3,9,0,623,13
282,0,555,4770,1364,129,2465,1,225,31,113,2615,1.0604217356042174,0,75,115,1285,113,5,15,0,555,0
283,0,231,5543,35,458,2524,1,408,8,1017,2684,1.062970297029703,0,235,3,638,1017,91,16,0,231,3
284,0,1216,9505,286,253,2398,1,604,78,111,1609,0.6706961233847436,0,609,3,1079,111,2,7,0,1216,2
285,1,309,8468,67,102,5953,1,424,36,137,1777,0.29845482028888143,0,154,59,320,137,10,5,0,309,6
286,0,732,5150,242,169,1895,1,638,34,68,3561,1.8781645569620253,0,381,20,353,68,21,31,0,732,3
287,0,4061,9959,294,94,3073,1,1225,391,414,3944,1.2830188679245282,0,880,409,1062,414,9,7,0,4061,3
288,0,682,4572,1171,307,2406,1,212,158,62,2008,0.8342334856668051,0,140,80,1121,62,5,29,0,682,1
289,0,280,18287,2,20,886,1,77,5,1030,2780,3.1341600901916573,9,10,0,31,1030,5,0,0,280,3
290,0,288,1109,61,35,690,1,41,10,115,755,1.0926193921852387,0,46,4,202,115,1,0,0,288,9
291,0,0,13,0,0,7,1,0,0,0,30,3.75,0,0,0,0,0,0,0,0,0,0
292,0,7,18,0,0,14,1,2,1,0,75,5.0,0,0,1,0,0,0,0,0,7,0
293,0,84,108,0,4,33,1,25,0,58,294,8.647058823529411,0,5,2,16,58,0,0,0,84,0
294,0,80,233,0,4,30,1,19,3,64,290,9.35483870967742,0,7,1,17,64,0,0,0,80,0
295,0,88,198,6,9,70,1,47,0,158,462,6.507042253521127,0,8,7,35,158,0,0,0,88,0
296,0,90,168,0,3,58,1,46,0,97,332,5.627118644067797,0,5,1,15,97,0,0,0,90,0
297,0,402,2426,83,143,1042,1,183,24,55,1342,1.2866730584851391,0,180,21,294,55,1,7,0,402,10
298,0,289,5860,3,63,3969,1,682,136,165,2001,0.5040302267002519,0,429,591,2187,165,10,7,0,289,13
299,0,143,2508,118,37,1502,1,189,12,102,1002,0.6666666666666666,0,81,145,275,102,6,10,0,143,5
300,0,467,3825,24,311,2263,1,624,1036,398,1776,0.784452296819788,0,137,1053,1278,398,7,12,0,467,1
301,0,17,46,0,0,26,1,1,0,0,83,3.074074074074074,0,2,0,1,0,0,0,0,17,0
302,0,595,8362,351,444,2599,1,782,23,94,2334,0.8976923076923077,0,482,42,1257,94,18,21,0,595,28
303,0,6,1005,141,347,1010,1,86,0,1131,3367,3.330365974282888,0,34,1,367,1131,74,10,0,6,3
304,0,257,915,3,62,447,1,111,7,15,1683,3.7566964285714284,0,22,2,71,15,22,2,0,257,1
305,0,257,915,3,62,447,1,111,7,15,1683,3.7566964285714284,0,22,2,71,15,22,2,0,257,1
306,0,10,38,0,1,28,1,0,0,0,99,3.413793103448276,0,0,0,0,0,0,0,0,10,0
307,0,26,29,0,0,17,1,0,0,0,80,4.444444444444445,0,0,0,0,0,0,0,0,26,0
308,0,307,6928,694,116,1900,1,814,195,140,3234,1.7012098895318253,0,471,16,635,140,41,43,0,307,32
